City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
329,Acapulco,MX,16.8634,-99.8901,85.86,65,94,6.51,overcast clouds
330,Salinopolis,BR,-0.6136,-47.3561,80.92,78,64,12.53,broken clouds
331,Coihueco,CL,-36.6167,-71.8333,56.14,54,0,16.11,clear sky
332,Uthal,PK,25.8072,66.6219,80.31,89,100,8.9,overcast clouds
333,Victoria,HK,22.2855,114.1577,82.45,91,96,3.0,overcast clouds
334,Vestmannaeyjar,IS,63.4427,-20.2734,50.36,85,100,10.67,overcast clouds
335,Jiblah,YE,13.9216,44.1467,66.22,75,99,0.56,overcast clouds
336,Vaitape,PF,-16.5167,-151.75,78.39,77,18,24.54,light rain
337,Pundaguitan,PH,6.3711,126.1689,80.13,76,86,5.35,overcast clouds
338,Sorong,ID,-0.8833,131.25,76.3,89,100,9.69,overcast clouds
339,Coahuayana,MX,18.7333,-103.6833,90.27,58,93,7.61,overcast clouds
340,Bonito,BR,-21.1211,-56.4819,60.69,79,100,11.56,overcast clouds
341,Astoria,US,46.1879,-123.8313,80.44,74,0,6.91,clear sky
342,Palmeira Das Missoes,BR,-27.8994,-53.3136,44.6,73,7,12.71,clear sky
